#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
k105_135484	1	124997	40072	124997	100	31.6236	35.7	59.7
k105_158751	1	17735	6397	17732	99.9831	35.3979	35.9	59.9
k105_68730	1	47609	16628	47608	99.9979	33.743	35.7	57.7
k105_69000	1	22711	7232	22711	100	31.3974	35.7	59.7
k105_227291	1	52811	16757	52811	100	31.4665	35.7	59.8
k105_69024	1	134279	43260	134276	99.9978	31.6366	35.6	59.6
k105_114772	1	4081	1269	4074	99.8285	30.9324	36	58.9
k105_318438	1	73530	24833	73530	100	33.4109	35.6	59.7
k105_183441	1	17523	5718	17523	100	31.9314	35.8	59.2
k105_70046	1	266140	89635	266134	99.9977	32.9941	35.6	59.5
k105_184878	1	34809	11470	34809	100	31.9942	35.6	59.6
k105_4369	1	18560	5893	18560	100	31.3126	35.6	59.5
k105_162916	1	9948	3064	9938	99.8995	30.3649	35.6	59.7
k105_231126	1	43741	13905	43741	100	31.3938	35.7	59.6
k105_118076	1	13669	8149	13669	100	51.6004	35.9	55.9
k105_187553	1	56925	18539	56920	99.9912	32.1958	35.7	59.6
k105_142395	1	73777	25767	73776	99.9986	34.07	35.4	59.5
k105_233305	1	8733	3457	8728	99.9427	36.9524	35.7	56.4
k105_256697	1	65267	21020	65267	100	31.9116	35.6	59.8
k105_302559	1	6462	2135	6462	100	32.6105	35.4	59.7
k105_10002	1	129600	44448	129600	100	33.9168	35.5	59.7
k105_235663	1	86960	30660	86960	100	34.5044	35.5	59.5
k105_326448	1	173529	61128	173529	100	34.5771	35.6	59.5
k105_102182	1	101391	32250	101391	100	31.5992	35.6	59.8
k105_216083	1	255300	87867	255300	100	33.8002	35.6	59.6
k105_79737	1	39753	14641	39750	99.9925	35.6168	35.5	59.2
k105_170625	1	9188	3037	9188	100	32.6781	35.7	59.8
k105_80230	1	72804	34490	72804	100	42.9442	35.7	57.5
k105_355103	1	13561	4633	13553	99.941	33.4188	35.8	59.6
k105_152093	1	8520	2836	8512	99.9061	32.6475	35.5	59.9
k105_62311	1	47528	16465	47528	100	34.0607	35.4	59.7
k105_62984	1	15516	5023	15516	100	32.0649	35.6	59.9
k105_243887	1	22313	7217	22313	100	31.3246	35.6	59.7
k105_244001	1	15535	4891	15529	99.9614	31.1524	35.7	59.8
k105_244317	1	84452	27417	84452	100	32.2238	35.8	59.6
k105_200646	1	80552	25862	80538	99.9826	31.5903	35.8	59.6
k105_132368	1	13325	4646	13325	100	34.0239	35.7	57.3
k105_200804	1	8628	2576	8627	99.9884	29.8038	35.9	59.8
k105_65992	1	200449	68858	200449	100	33.9268	35.6	59.7
k105_133433	1	7002	2028	6996	99.9143	28.1631	35.5	58.1
k105_112510	1	53809	16619	53809	100	30.6559	35.7	60
