#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
k105_135484	1	124997	686	10745	8.59621	0.331184	35.7	51.1
k105_158751	1	17735	42	1618	9.1232	0.154666	34.8	57.9
k105_68730	1	47609	1078	5578	11.7163	1.26909	35.6	28.6
k105_69000	1	22711	48	2535	11.162	0.155123	34.2	55.4
k105_227291	1	52811	177	6416	12.149	0.244192	35.8	47.4
k105_69024	1	134279	772	13870	10.3292	0.377967	35.7	47.9
k105_318438	1	73530	192	9187	12.4942	0.206528	35.3	51.5
k105_183441	1	17523	80	2212	12.6234	0.279518	35.8	51.8
k105_70046	1	266140	3040	30668	11.5233	0.708093	35.6	47
k105_184878	1	34809	437	3461	9.94283	0.699876	36.1	52.3
k105_4369	1	18560	80	3063	16.5032	0.294504	35.3	49.3
k105_162916	1	9948	17	982	9.87133	0.131986	36.3	56.3
k105_231126	1	43741	111	4454	10.1827	0.180883	35.8	50.7
k105_118076	1	13669	3497	1365	9.9861	18.4114	36.2	53.4
k105_187553	1	56925	189	7377	12.9592	0.243144	35.8	48.1
k105_142395	1	73777	625	8623	11.6879	0.510267	35.4	48.7
k105_233305	1	8733	364	1122	12.8478	2.40147	36	44.9
k105_256697	1	65267	228	6608	10.1246	0.237333	35.6	49
k105_302559	1	6462	6	499	7.72207	0.093779	35.7	60
k105_10002	1	129600	271	13844	10.6821	0.164715	35.2	51.4
k105_235663	1	86960	614	12711	14.6171	0.456693	35.7	46.2
k105_326448	1	173529	1111	21789	12.5564	0.413476	35.6	47.2
k105_102182	1	101391	162	8298	8.18416	0.121806	34.9	54.3
k105_216083	1	255300	2084	30521	11.955	0.491962	35.9	49.2
k105_79737	1	39753	550	5549	13.9587	0.839534	35.4	48.1
k105_170625	1	9188	13	563	6.12756	0.104593	35.3	43.5
k105_80230	1	72804	10645	8146	11.1889	10.3891	36.3	52.5
k105_355103	1	13561	22	754	5.56006	0.116437	36.5	44.3
k105_152093	1	8520	22	852	10	0.170892	35.3	59.2
k105_62311	1	47528	287	6023	12.6725	0.388171	35.8	45.9
k105_62984	1	15516	23	1512	9.74478	0.126708	36.2	55.7
k105_243887	1	22313	401	2424	10.8636	0.855331	36.8	57.1
k105_244001	1	15535	43	2314	14.8954	0.241841	35.3	53
k105_244317	1	84452	140	7396	8.75764	0.12394	35.6	56.1
k105_200646	1	80552	526	7163	8.89239	0.389934	35.8	50.3
k105_132368	1	13325	56	1098	8.24015	0.269343	35.9	38.5
k105_200804	1	8628	13	904	10.4775	0.145225	35.5	59.9
k105_65992	1	200449	811	19905	9.93021	0.270398	35.5	47.4
k105_133433	1	7002	14	944	13.4819	0.161954	33.6	47.2
k105_112510	1	53809	115	5942	11.0428	0.168671	35.3	51
k105_114772	1	4081	0	0	0	0	0	0
