#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
k105_112833	1	11346	122	6738	59.3866	1.02917	36.8	59
k105_270701	1	52160	815	32226	61.783	1.30464	37	58.6
k105_293549	1	7882	803	4607	58.4496	6.33532	35.9	46.3
k105_138071	1	34071	690	17254	50.6413	1.53403	36.7	52.3
k105_318588	1	25070	336	12117	48.3327	1.06139	37.3	55.1
k105_115526	1	114845	1893	76457	66.5741	1.53052	37	57.3
k105_161478	1	4166	43	2106	50.5521	0.929909	37.1	56.8
k105_342070	1	20722	629	11061	53.3781	1.95647	36.8	55
k105_26198	1	104104	1077	58518	56.2111	1.00534	37.2	58.8
k105_275598	1	8768	94	5234	59.6943	1.06524	36.8	60
k105_231570	1	35897	6567	20538	57.2137	14.5303	36.2	52.2
k105_232289	1	27487	560	17107	62.2367	1.93299	36.7	57.7
k105_300438	1	54509	801	32706	60.0011	1.29513	37.2	55.2
k105_7432	1	10681	464	8418	78.8128	3.30727	36.7	55.8
k105_8065	1	9836	2428	5768	58.6417	16.3556	36.7	52.8
k105_301031	1	40187	467	21442	53.3556	1.05887	37.2	57.7
k105_75399	1	58110	674	32839	56.5118	1.10616	37.3	57.4
k105_189868	1	2640	216	2556	96.8182	7.55492	36.6	56.7
k105_257730	1	123524	2041	80073	64.8238	1.47426	37	56.8
k105_235527	1	55705	697	30272	54.3434	1.10981	36.9	57.9
k105_10741	1	109754	2002	69072	62.9335	1.49305	37	57
k105_258826	1	4682	48	2052	43.8274	0.928022	38	59.5
k105_191897	1	22077	477	14725	66.6984	2.05205	37.1	58.4
k105_259729	1	14399	954	7566	52.5453	4.04063	36.9	53.8
k105_350637	1	88922	995	49254	55.3901	1.04986	37	57.6
k105_260184	1	52816	632	28308	53.5974	1.05033	37.2	56.6
k105_283457	1	3219	48	2460	76.4212	1.49115	37.2	60
k105_170061	1	42238	471	22626	53.5679	1.00874	37.2	59.7
k105_58100	1	30595	358	17627	57.614	1.06034	37.2	57.6
k105_36634	1	4502	266	3789	84.1626	5.30631	37	58.1
k105_262180	1	4522	103	3087	68.2663	1.95599	37.1	59.6
k105_81512	1	21975	293	14643	66.6348	1.24086	37.3	57.8
k105_60385	1	35959	537	20284	56.4087	1.25323	36.9	58.7
k105_242149	1	27620	304	15470	56.0101	1.07306	37	59.9
k105_39201	1	19119	191	9484	49.6051	0.89717	37.1	57.8
k105_220031	1	77884	1172	45451	58.3573	1.30914	37.1	56.8
k105_333143	1	46813	821	28500	60.8805	1.51024	37.1	56.1
k105_175754	1	88685	1076	51622	58.2083	1.12362	37	58.5
k105_63507	1	22730	337	11888	52.3009	1.15878	37.3	56.5
k105_266733	1	28283	306	16525	58.4273	1.04681	37.2	59.8
k105_290568	1	17486	211	8808	50.3717	1.09876	36.9	56.9
k105_267681	1	14094	263	10618	75.337	1.73826	36.5	59.6
k105_222493	1	50336	630	26540	52.7257	1.04116	37.1	55.7
k105_155245	1	78421	2090	41395	52.7856	1.92213	36.7	53.9
k105_314712	1	5943	54	3265	54.9386	0.893488	37.7	59.6
k105_67664	1	19307	226	11097	57.4766	1.08655	37	59
