#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
k105_157984	1	2974	755	2974	100	24.2646	35.6	59.5
k105_22648	1	9895	2793	9879	99.8383	26.3901	35	56.9
k105_293265	1	73571	19540	73571	100	25.1523	34.8	57.9
k105_113035	1	12108	3389	12108	100	25.3384	34.9	55.7
k105_293400	1	10334	3106	10334	100	26.9451	35.3	53.9
k105_180739	1	3559	792	3554	99.8595	20.9646	34.9	56.9
k105_180808	1	29338	8216	29325	99.9557	26.8977	34.9	58.3
k105_248657	1	11257	3304	11257	100	26.983	35.1	56.9
k105_135693	1	2682	350	2682	100	12.56	35.4	59.3
k105_570	1	28313	6931	28313	100	23.8241	34.7	59.8
k105_90945	1	18689	5314	18689	100	26.5755	34.8	56.6
k105_45847	1	8499	2055	8496	99.9647	23.2007	35	58.7
k105_68339	1	106343	32055	106343	100	28.4443	34.9	57.8
k105_113541	1	2916	759	2910	99.7942	24.2874	34.6	54.8
k105_158966	1	12456	3508	12456	100	27.1272	34.8	58.7
k105_91484	1	10106	3400	10102	99.9604	30.9786	34.8	55.3
k105_136892	1	9983	2574	9973	99.8998	24.4371	34.8	58.9
k105_204620	1	21166	4585	21166	100	20.6545	35.1	58.4
k105_114578	1	19342	5499	19342	100	27.1179	34.9	58.1
k105_1951	1	17435	5482	17435	100	29.1629	34.6	56.2
k105_69862	1	5546	2041	5546	100	33.5766	34.8	52.3
k105_160647	1	47262	11859	47259	99.9937	23.7952	34.9	58.3
k105_92994	1	12326	3350	12326	100	25.4133	34.7	57.9
k105_115739	1	39611	10848	39514	99.7551	26.0103	35	58.3
k105_251660	1	46330	13648	46330	100	27.5803	35	55.9
k105_3289	1	11020	2595	11020	100	22.3709	35.4	57.5
k105_228881	1	6640	880	6640	100	12.5387	34.7	59.2
k105_206747	1	12757	3558	12757	100	26.1305	34.7	57.5
k105_184339	1	10405	1631	10389	99.8462	14.9351	34.5	56.9
k105_206807	1	8361	2350	8357	99.9522	25.5462	34.9	55
k105_26299	1	10254	2870	10254	100	26.9869	34.6	59.7
k105_296953	1	3901	819	3895	99.8462	19.2597	34.5	58.1
k105_94345	1	2837	548	2837	100	17.43	35.2	52.3
k105_139524	1	14686	4062	14659	99.8162	25.564	34.8	56.3
k105_71431	1	4130	728	4125	99.8789	16.4835	35.1	49.1
k105_275150	1	17219	4116	17219	100	22.7189	34.8	58.2
k105_275301	1	22829	6621	22811	99.9212	27.0169	34.9	57.6
k105_117096	1	49753	12904	49740	99.9739	24.5752	34.9	58.5
k105_117215	1	2699	823	2699	100	27.7925	35.1	52
k105_298614	1	2915	736	2910	99.8285	24.4659	34.6	59
k105_50474	1	22540	6329	22532	99.9645	25.8634	34.8	56.9
k105_298727	1	5668	1683	5668	100	28.5498	34.9	57.8
k105_344011	1	8332	2102	8332	100	23.7624	34.9	57.8
k105_163540	1	7079	1932	7079	100	26.2168	35.3	52.3
k105_298969	1	3856	800	3856	100	18.9313	35.2	53.1
k105_96157	1	8231	2890	8227	99.9514	31.9931	35.1	54.4
