#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
k105_45299	1	15395	1095	15280	99.253	6.64748	35.4	55.9
k105_158195	1	16406	927	16249	99.043	5.37084	35.2	56.9
k105_45583	1	4193	232	3999	95.3732	5.17529	35.4	55.6
k105_338853	1	3152	158	3015	95.6536	4.77824	35.1	57.5
k105_316475	1	5957	363	5943	99.765	5.59946	34.9	56.5
k105_293817	1	2685	120	2610	97.2067	4.22793	34.9	58.7
k105_90936	1	9780	500	9722	99.407	4.83476	35.1	57.4
k105_68340	1	15087	948	14691	97.3752	5.35494	35.4	57.5
k105_203975	1	6122	362	6034	98.5626	5.53626	35.1	55.2
k105_316919	1	3673	145	3600	98.0125	3.84645	35.1	58.7
k105_226811	1	10817	710	10759	99.4638	5.92854	35.3	53.2
k105_46204	1	7543	248	7095	94.0607	3.23399	35.4	59.5
k105_136596	1	11839	702	11709	98.9019	5.62497	35.5	56.5
k105_114218	1	6807	787	6748	99.1332	10.3357	35.4	53.9
k105_159689	1	3224	224	3113	96.5571	6.59429	35	55.2
k105_272511	1	2810	118	2752	97.9359	3.98221	34.7	55.8
k105_114552	1	16156	815	16046	99.3191	4.85857	35.2	57.5
k105_69402	1	15457	748	15235	98.5638	4.59261	35.1	57.6
k105_47052	1	2986	158	2926	97.9906	5.02679	35.2	56.1
k105_340827	1	6957	372	6609	94.9978	5.0217	35.2	56.9
k105_340849	1	6262	369	6212	99.2015	5.67119	35	55.7
k105_318470	1	11946	672	11838	99.0959	5.37084	35.1	57.3
k105_183348	1	49395	2970	48935	99.0687	5.74066	35	57.4
k105_205828	1	5327	329	5079	95.3445	4.8395	35.1	39.8
k105_183596	1	11223	634	11003	98.0397	5.46307	35.4	57.7
k105_160997	1	5462	351	5357	98.0776	6.12486	35.1	55.8
k105_138375	1	2793	93	2449	87.6835	3.2381	35.2	58.8
k105_3032	1	3032	196	3014	99.4063	5.98912	35.5	56.5
k105_273928	1	3758	264	3580	95.2634	6.19665	35.3	58.4
k105_184000	1	9609	616	9533	99.2091	5.80799	35.3	52.5
k105_319242	1	9731	567	9565	98.2941	5.28466	35.1	55.7
k105_48301	1	4505	217	4413	97.9578	4.61953	35.3	56.9
k105_319353	1	16074	834	15602	97.0636	4.98669	35.2	57.7
k105_116025	1	3391	113	3058	90.1799	3.27691	35.1	59.4
k105_138974	1	9538	527	9527	99.8847	5.34473	35.1	57.3
k105_93826	1	2501	174	2479	99.1204	6.62615	35.3	57.3
k105_3742	1	2553	117	2488	97.454	4.387	35.5	58.5
k105_116235	1	11793	729	11530	97.7699	5.89875	35.4	56.7
k105_161800	1	16473	837	15952	96.8372	4.907	35.2	56.6
k105_48818	1	21775	1078	21503	98.7509	4.77943	35.3	57.2
k105_207104	1	9644	549	9384	97.304	5.34571	35.2	56
k105_49034	1	3290	173	3269	99.3617	4.76261	35.3	55.2
k105_161951	1	7389	304	7316	99.012	3.92868	35.1	58.2
k105_49049	1	16211	875	15937	98.3098	5.12954	35.3	56.4
k105_342544	1	9827	514	9497	96.6419	5.07917	35.1	57.7
k105_4216	1	7121	337	6822	95.8012	4.55835	35.2	58.2
k105_184809	1	3554	166	3228	90.8272	4.49184	34.9	58.3
k105_252576	1	2670	152	2580	96.6292	5.44944	35	57.1
k105_162074	1	28619	1701	27877	97.4073	5.51176	35.3	55.5
k105_139607	1	2530	117	2512	99.2885	4.38458	35.1	58.9
k105_275050	1	8234	422	7834	95.1421	4.88426	35.2	56.9
k105_275092	1	7532	389	7233	96.0303	4.90892	34.9	56
k105_94620	1	4852	402	4693	96.723	7.82955	35.2	53.5
k105_94788	1	13890	789	13667	98.3945	5.33153	35.1	56.4
k105_49546	1	7839	399	7700	98.2268	4.81707	35.3	54.5
k105_253139	1	5437	386	5275	97.0204	6.68089	35	55
k105_117099	1	19497	1081	19076	97.8407	5.2823	35.3	56.6
k105_140321	1	9665	456	9282	96.0372	4.53513	35.1	56
k105_298123	1	3476	197	3419	98.3602	5.45742	34.8	57.9
k105_275625	1	2604	184	2604	100	6.74654	34.7	58.5
k105_208313	1	15942	918	15612	97.93	5.4702	35	57.8
k105_208367	1	8439	574	8272	98.0211	6.37623	35.1	54.9
k105_50107	1	3573	153	3550	99.3563	3.93899	35.1	56.7
k105_27767	1	6576	338	6367	96.8218	4.82877	35.2	56.5
k105_208567	1	4199	208	4140	98.5949	4.77614	35.2	56.8
k105_276353	1	3282	619	3282	100	18.0003	35.3	57.4
k105_186605	1	9352	619	9304	99.4867	6.40868	35	57.7
k105_118150	1	22015	1548	21250	96.5251	5.84928	35.5	55.3
k105_118225	1	5253	438	5160	98.2296	6.99695	35.6	51
k105_186887	1	3751	180	3631	96.8009	4.56838	35.1	59
k105_209412	1	9303	413	9084	97.6459	4.41438	35.8	59.6
k105_96341	1	5952	281	5952	100	4.45397	35.3	57.1
k105_96439	1	5967	231	5620	94.1847	3.79454	35.2	59.6
k105_28979	1	10171	645	9918	97.5125	5.97277	35.3	55.6
k105_6394	1	16929	969	16786	99.1553	5.41083	35.2	56.4
k105_29248	1	4893	254	4836	98.8351	5.04619	35.1	58.1
k105_96711	1	3268	434	3208	98.164	10.2534	35.4	52.4
k105_322857	1	16449	964	16173	98.3221	5.66308	35.1	57.9
k105_73932	1	3780	193	3576	94.6032	4.9045	35.4	57.1
k105_6960	1	4433	245	4326	97.5863	5.44439	35.6	59.1
k105_300221	1	29833	1650	29380	98.4815	5.29498	35.2	56.9
k105_232694	1	3755	350	3745	99.7337	8.49667	35.2	54.5
k105_300378	1	5337	286	5263	98.6135	5.16114	35.3	57
k105_278281	1	3802	271	3802	100	6.94819	35.4	57.4
k105_187916	1	7742	457	7665	99.0054	5.53087	35.4	55.2
k105_323392	1	10605	824	10553	99.5097	6.93305	35.1	53.7
k105_300577	1	18397	2107	18395	99.9891	9.89221	35.5	51.7
k105_255907	1	7531	525	7531	100	6.53658	35.2	55.6
k105_30434	1	2582	161	2569	99.4965	5.78428	35.5	56.4
k105_233185	1	6375	332	6134	96.2196	5.04988	35.2	57.2
k105_119934	1	13807	765	13522	97.9358	5.29029	35.3	55.8
k105_98112	1	12370	643	11912	96.2975	4.84859	35.5	56.1
k105_165937	1	16248	845	16048	98.7691	4.95218	35	54.8
k105_211545	1	4022	174	3643	90.5768	4.08478	35.5	57.2
k105_188951	1	11879	716	11838	99.6549	5.83332	35.2	58.3
k105_233832	1	2636	136	2635	99.9621	4.74772	35	55.4
k105_166091	1	24330	1723	23987	98.5902	6.20362	35.2	55.9
k105_189149	1	4446	213	4247	95.5241	4.62618	35.6	57.8
