#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
k105_112833	1	11346	2774	11346	100	24.1162	36.9	59.3
k105_270701	1	52160	13499	52160	100	25.5434	37.3	59.8
k105_293549	1	7882	2195	7882	100	24.5176	36.7	55.7
k105_138071	1	34071	7001	34071	100	20.119	37.1	59.1
k105_318588	1	25070	5018	25070	100	19.6854	37.2	59.4
k105_115526	1	114845	32305	114839	99.9948	27.9399	37	59.6
k105_161478	1	4166	1086	4166	100	25.3512	37.1	59.1
k105_342070	1	20722	4423	20722	100	20.2069	37.3	59
k105_26198	1	104104	21698	104104	100	20.8546	37.2	59.9
k105_275598	1	8768	1774	8768	100	20.2527	37.3	60
k105_231570	1	35897	13906	35897	100	35.1188	36.9	56.1
k105_232289	1	27487	7142	27487	100	25.6944	37.1	59.4
k105_300438	1	54509	12214	54509	100	22.2438	37.2	59.4
k105_7432	1	10681	2638	10681	100	23.451	37.1	58.6
k105_8065	1	9836	4646	9836	100	38.0452	36.9	56.2
k105_301031	1	40187	7746	40187	100	19.1457	37.3	59.8
k105_75399	1	58110	12297	58110	100	21.167	37.2	59.9
k105_189868	1	2640	1435	2640	100	51.428	36.9	57.6
k105_257730	1	123524	33828	123524	100	27.1166	37.1	59.6
k105_235527	1	55705	11089	55705	100	19.6956	37.2	59.8
k105_10741	1	109754	27357	109754	100	24.5138	37.1	59.6
k105_258826	1	4682	736	4682	100	15.3879	37.3	59.7
k105_191897	1	22077	6457	22077	100	29.0103	37.1	59.6
k105_259729	1	14399	4015	14399	100	25.4585	37.1	56.6
k105_350637	1	88922	18804	88922	100	21.0719	37.1	59.7
k105_260184	1	52816	11370	52816	100	21.3709	37.1	59.5
k105_283457	1	3219	295	3219	100	9.18826	37.4	60
k105_170061	1	42238	9293	42238	100	22.0071	37.2	59.9
k105_58100	1	30595	6591	30595	100	21.337	37.1	59.4
k105_36634	1	4502	1836	4502	100	38.1048	37.1	58.4
k105_262180	1	4522	1351	4522	100	28.3664	37	59.8
k105_81512	1	21975	5111	21975	100	22.9716	37.3	59.5
k105_60385	1	35959	7192	35959	100	19.7383	37.4	59.8
k105_242149	1	27620	6160	27620	100	22.2286	37.1	60
k105_39201	1	19119	3970	19119	100	20.4768	37.2	59.8
k105_220031	1	77884	18232	77884	100	23.236	37.3	59.7
k105_333143	1	46813	12436	46813	100	26.2281	37.2	59.7
k105_175754	1	88685	23839	88685	100	26.7392	37.1	59.7
k105_63507	1	22730	4159	22730	100	17.9297	37.5	59.5
k105_266733	1	28283	6095	28283	100	21.5829	37.3	60
k105_290568	1	17486	3714	17486	100	20.7596	37.2	59.3
k105_267681	1	14094	4264	14094	100	29.7358	36.9	59.7
k105_222493	1	50336	9593	50336	100	18.8488	37.4	59.5
k105_155245	1	78421	18313	78421	100	22.6809	36.9	59.1
k105_314712	1	5943	1162	5943	100	19.6273	37.6	60
k105_67664	1	19307	4292	19307	100	22.0897	37	59.9
