#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
k105_157984	1	2974	279	2969	99.8319	8.90888	35.5	59.7
k105_22648	1	9895	960	9870	99.7473	8.87266	35.1	55.6
k105_293265	1	73571	7063	73552	99.9742	8.98136	34.8	57.2
k105_113035	1	12108	1322	12043	99.4632	9.62636	34.9	54.7
k105_293400	1	10334	1172	10334	100	9.98578	35.1	53.3
k105_180739	1	3559	293	3525	99.0447	7.65074	34.7	56.4
k105_180808	1	29338	3004	29305	99.8875	9.73717	35	57.7
k105_248657	1	11257	1215	11172	99.2449	9.70738	35	55.8
k105_135693	1	2682	221	2673	99.6644	7.89187	35.3	59.2
k105_570	1	28313	2396	28264	99.8269	8.2259	34.8	59.7
k105_90945	1	18689	2007	18651	99.7967	9.91562	34.8	55.2
k105_45847	1	8499	685	8473	99.6941	7.71538	34.9	58.9
k105_68339	1	106343	11461	106116	99.7865	9.99621	34.8	57
k105_113541	1	2916	304	2827	96.9479	9.4808	34.6	53.7
k105_158966	1	12456	1204	12414	99.6628	9.2561	34.9	58.9
k105_91484	1	10106	1277	10102	99.9604	11.4512	34.8	54.1
k105_136892	1	9983	961	9966	99.8297	9.07102	34.8	58.3
k105_204620	1	21166	1745	21077	99.5795	7.77658	35.1	58.4
k105_114578	1	19342	1933	19339	99.9845	9.44401	35	57.2
k105_1951	1	17435	2005	17423	99.9312	10.4854	34.6	55
k105_69862	1	5546	873	5498	99.1345	13.7072	35.1	49.2
k105_160647	1	47262	4090	47098	99.653	8.07075	35	57.3
k105_92994	1	12326	1232	12212	99.0751	9.30042	34.9	57.3
k105_115739	1	39611	3810	39605	99.9849	8.9996	35	57.7
k105_251660	1	46330	5232	46215	99.7518	10.3581	35	54.7
k105_3289	1	11020	924	11008	99.8911	7.86824	35.3	56
k105_228881	1	6640	322	6640	100	4.6613	34.9	59
k105_206747	1	12757	1333	12739	99.8589	9.61692	34.6	57.5
k105_184339	1	10405	610	10385	99.8078	5.55512	34.6	57.6
k105_206807	1	8361	821	8358	99.9641	8.88949	34.9	54.3
k105_26299	1	10254	971	10254	100	9.06953	34.6	59.8
k105_296953	1	3901	363	3804	97.5135	8.44912	34.3	58.9
k105_94345	1	2837	236	2837	100	7.65985	35.3	52.7
k105_139524	1	14686	1539	14620	99.5506	9.52227	34.8	55.3
k105_71431	1	4130	277	3953	95.7143	6.23995	35.2	49.4
k105_275150	1	17219	1492	16980	98.612	8.12068	34.6	57.6
k105_275301	1	22829	2639	22778	99.7766	10.4975	35	56.9
k105_117096	1	49753	4774	49590	99.6724	8.87975	35	57.5
k105_117215	1	2699	370	2671	98.9626	11.688	35.4	43.7
k105_298614	1	2915	280	2900	99.4854	9.33379	34.7	59.2
k105_50474	1	22540	2462	22490	99.7782	9.89064	34.9	55.6
k105_298727	1	5668	538	5668	100	9.02241	34.8	58
k105_344011	1	8332	722	8316	99.808	8.04225	34.9	56.9
k105_163540	1	7079	590	7028	99.2796	7.93036	35	51.8
k105_298969	1	3856	270	3852	99.8963	6.41494	35.4	54
k105_96157	1	8231	1163	8208	99.7206	12.5064	35.2	52
k105_28479	1	14313	1196	14286	99.8114	8.00915	34.8	59.2
k105_344432	1	6313	564	6311	99.9683	8.36195	34.9	57.8
k105_51246	1	3311	281	3219	97.2214	6.95651	34.8	55
k105_187053	1	15634	1208	15606	99.8209	7.34048	34.7	58.7
k105_118529	1	27514	3036	27487	99.9019	10.3364	34.9	57.1
k105_254740	1	27266	2796	27260	99.978	9.6416	34.7	57.2
k105_187123	1	13687	1306	13663	99.8247	9.17301	34.9	58.1
k105_187140	1	4408	725	4408	100	14.3242	35	50.2
k105_344817	1	32400	3180	32301	99.6944	9.09985	34.9	56.9
k105_187223	1	12176	1059	12032	98.8173	8.32121	34.7	58.9
k105_29413	1	20663	1990	20601	99.6999	8.88056	34.9	57.4
k105_187381	1	9615	1255	9615	100	11.5447	35	55.4
k105_29519	1	2860	285	2815	98.4266	9.37937	34.9	57.4
k105_299860	1	34115	4071	34049	99.8065	10.9523	34.9	55.1
k105_118957	1	31601	3160	31567	99.8924	9.31904	35.1	56.9
k105_232246	1	5767	619	5738	99.4971	9.62216	35	56.3
k105_345178	1	65378	8058	65369	99.9862	11.3152	35	55.5
k105_210444	1	6917	877	6917	100	11.4101	35.1	46.6
k105_323243	1	6776	768	6775	99.9852	9.70233	34.8	53.6
k105_255731	1	3835	315	3835	100	7.81643	35	59.4
k105_74522	1	37113	3431	37077	99.903	8.6062	34.8	58
k105_143025	1	5352	557	5336	99.701	9.76233	35	56.1
k105_188111	1	9417	1395	9322	98.9912	13.7102	35.1	57
k105_119699	1	15329	1776	15311	99.8826	10.6923	34.9	56
k105_74840	1	43965	5078	43936	99.934	10.5065	34.9	54.2
k105_143490	1	47994	6626	47963	99.9354	12.1993	35.2	54.5
k105_233491	1	24121	2364	24051	99.7098	9.25654	34.7	57.8
k105_233629	1	4604	385	4552	98.8705	7.71742	34.8	56.8
k105_53570	1	41299	4988	41219	99.8063	11.06	34.9	55.4
k105_301334	1	10336	1072	10317	99.8162	9.48916	34.7	56.5
k105_31158	1	11992	1657	11982	99.9166	12.5054	34.8	53.2
